City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,qaqortoq,60.7167,-46.0333,-2.25,91,100,1.19,GL,1712582519
309,bodaybo,57.8506,114.1933,-1.54,98,100,0.34,RU,1712582520
310,amga,60.8953,131.9608,-13.77,99,81,0.7,RU,1712582520
311,saint-philippe,-21.3585,55.7679,27.77,87,65,2.64,RE,1712582520
312,sittwe,20.15,92.9,28.75,71,1,7.17,MM,1712582521
313,gorno-altaysk,51.9561,85.955,14.17,58,100,1.79,RU,1712582521
314,khenifra,32.9333,-5.6667,15.29,73,100,1.62,MA,1712582522
315,kununurra,-15.7667,128.7333,21.99,83,100,0.0,AU,1712582523
316,petropavlovsk-kamchatsky,53.0452,158.6483,2.65,82,75,0.89,RU,1712582523
317,kuala pilah,2.7389,102.2487,25.78,91,98,0.77,MY,1712582523
318,cherlak,54.155,74.8055,9.63,77,100,1.84,RU,1712582524
319,viana do castelo,41.6932,-8.8329,11.74,77,100,7.89,PT,1712582495
320,alba posse,-27.5698,-54.6826,23.37,87,99,1.82,AR,1712582525
321,badger,64.8,-147.5333,-2.86,84,100,0.0,US,1712582525
322,zabid,14.1951,43.3152,33.69,45,92,5.62,YE,1712582525
323,le port,-20.9373,55.2919,28.0,78,18,2.57,RE,1712582526
324,sola,-13.8833,167.55,27.48,75,100,6.28,VU,1712582526
325,talnakh,69.4865,88.3972,-7.66,90,100,6.29,RU,1712582527
326,bubaque,11.2833,-15.8333,26.49,54,100,3.0,GW,1712582527
327,isangel,-19.55,169.2667,24.63,90,100,3.22,VU,1712582528
328,luba,3.4568,8.5547,29.94,82,100,4.0,GQ,1712582297
329,kyakhta,50.3508,106.4494,5.13,81,100,7.06,RU,1712582528
330,queenstown,-31.8976,26.8753,15.89,88,100,1.63,ZA,1712582529
331,bairnsdale,-37.8333,147.6167,14.47,88,100,2.48,AU,1712582529
332,kyshtovka,56.555,76.6271,1.3,99,100,3.58,RU,1712582529
333,lorengau,-2.0226,147.2712,27.89,81,100,4.01,PG,1712582530
